v,alpha,l,q_value
120.0,0.01,8,3.22
120.0,0.01,9,3.26
120.0,0.01,10,3.29
120.0,0.01,11,3.32
120.0,0.01,13,3.37
120.0,0.01,15,3.41
120.0,0.01,17,3.45
120.0,0.01,19,3.48
120.0,0.01,21,3.5
120.0,0.05,3,2.24
120.0,0.05,4,2.38
120.0,0.05,5,2.47
120.0,0.05,6,2.55
120.0,0.05,7,2.6
120.0,0.05,8,2.65
120.0,0.05,9,2.69
120.0,0.05,10,2.73
120.0,0.05,11,2.76
120.0,0.05,13,2.81
120.0,0.05,15,2.86
120.0,0.05,17,2.89
120.0,0.05,19,2.93
120.0,0.05,21,2.95
120.0,0.1,3,1.93
120.0,0.1,4,2.08
120.0,0.1,5,2.18
120.0,0.1,6,2.26
120.0,0.1,7,2.32
120.0,0.1,8,2.37
120.0,0.1,9,2.41
120.0,0.1,10,2.45
120.0,0.1,11,2.48
120.0,0.1,13,2.53
120.0,0.1,15,2.58
120.0,0.1,17,2.62
120.0,0.1,19,2.65
120.0,0.1,21,2.68
inf,0.01,3,2.79
inf,0.01,4,2.91
inf,0.01,5,3.0
inf,0.01,6,3.06
inf,0.01,7,3.11
inf,0.01,8,3.15
inf,0.01,9,3.19
inf,0.01,10,3.22
inf,0.01,11,3.25
inf,0.01,13,3.29
inf,0.01,15,3.33
inf,0.01,17,3.37
inf,0.01,19,3.4
inf,0.01,21,3.42
inf,0.05,3,2.21
inf,0.05,4,2.35
inf,0.05,5,2.44
inf,0.05,6,2.51
inf,0.05,7,2.57
inf,0.05,8,2.61
inf,0.05,9,2.65
inf,0.05,10,2.69
inf,0.05,11,2.72
inf,0.05,13,2.77
inf,0.05,15,2.81
inf,0.05,17,2.85
inf,0.05,19,2.88
inf,0.05,21,2.91
inf,0.1,3,1.92
inf,0.1,4,2.06
inf,0.1,5,2.16
inf,0.1,6,2.23
inf,0.1,7,2.29
inf,0.1,8,2.34
inf,0.1,9,2.38
inf,0.1,10,2.42
inf,0.1,11,2.45
inf,0.1,13,2.5
inf,0.1,15,2.55
inf,0.1,17,2.58
inf,0.1,19,2.62
inf,0.1,21,2.64
